fileId,fileUrls for custom selected,size
7819463424,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/271/AERDT_L2_VIIRS_SNPP.A2023271.0636.002.2023271191903.nc,12008010
7819532348,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/271/AERDT_L2_VIIRS_SNPP.A2023271.0812.002.2023271203854.nc,13097729
7820609038,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/272/AERDT_L2_VIIRS_SNPP.A2023272.0430.002.2023272165947.nc,13863079
7820609033,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/272/AERDT_L2_VIIRS_SNPP.A2023272.0436.002.2023272165951.nc,10029140
7820703123,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/272/AERDT_L2_VIIRS_SNPP.A2023272.0612.002.2023272190941.nc,15066420
7820703099,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/272/AERDT_L2_VIIRS_SNPP.A2023272.0618.002.2023272190945.nc,11090320
7820765772,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/272/AERDT_L2_VIIRS_SNPP.A2023272.0754.002.2023272201956.nc,13267964
7820771785,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/272/AERDT_L2_VIIRS_SNPP.A2023272.0800.002.2023272202940.nc,9418360
7821829957,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/273/AERDT_L2_VIIRS_SNPP.A2023273.0736.002.2023273200023.nc,12485619
7821837864,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/273/AERDT_L2_VIIRS_SNPP.A2023273.0742.002.2023273201031.nc,9457722
7821667540,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/273/AERDT_L2_VIIRS_SNPP.A2023273.0418.002.2023273164016.nc,10444890
7821751487,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/273/AERDT_L2_VIIRS_SNPP.A2023273.0554.002.2023273182032.nc,14630920
7821781099,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/273/AERDT_L2_VIIRS_SNPP.A2023273.0600.002.2023273191019.nc,10778974
7827427577,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/274/AERDT_L2_VIIRS_SNPP.A2023274.0536.002.2023279185928.nc,14812428
7827427072,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/274/AERDT_L2_VIIRS_SNPP.A2023274.0542.002.2023279185926.nc,10408130
7827425772,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/274/AERDT_L2_VIIRS_SNPP.A2023274.0718.002.2023279185905.nc,13364917
7827425886,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/274/AERDT_L2_VIIRS_SNPP.A2023274.0724.002.2023279185914.nc,9864831
7827428478,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/276/AERDT_L2_VIIRS_SNPP.A2023276.0454.002.2023279190010.nc,14042726
7827427744,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/275/AERDT_L2_VIIRS_SNPP.A2023275.0518.002.2023279185920.nc,13282349
7827428148,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/275/AERDT_L2_VIIRS_SNPP.A2023275.0524.002.2023279190001.nc,9272291
7827427993,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/275/AERDT_L2_VIIRS_SNPP.A2023275.0700.002.2023279185953.nc,11634934
7827427984,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/275/AERDT_L2_VIIRS_SNPP.A2023275.0706.002.2023279185958.nc,8917450
7827428479,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/276/AERDT_L2_VIIRS_SNPP.A2023276.0500.002.2023279190030.nc,12176004
7827428060,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/276/AERDT_L2_VIIRS_SNPP.A2023276.0506.002.2023279185952.nc,9740732
7827426357,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/276/AERDT_L2_VIIRS_SNPP.A2023276.0636.002.2023279185910.nc,12872736
7827427032,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/276/AERDT_L2_VIIRS_SNPP.A2023276.0642.002.2023279185920.nc,9982225
7827427259,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/276/AERDT_L2_VIIRS_SNPP.A2023276.0818.002.2023279185921.nc,13340850
7827427591,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/277/AERDT_L2_VIIRS_SNPP.A2023277.0618.002.2023279185928.nc,14737086
7827427880,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/277/AERDT_L2_VIIRS_SNPP.A2023277.0624.002.2023279185932.nc,11121744
7827426337,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/277/AERDT_L2_VIIRS_SNPP.A2023277.0436.002.2023279185910.nc,14701995
7827427162,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/277/AERDT_L2_VIIRS_SNPP.A2023277.0442.002.2023279185929.nc,12134724
7827427873,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/277/AERDT_L2_VIIRS_SNPP.A2023277.0800.002.2023279185942.nc,13823668
7827428285,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/278/AERDT_L2_VIIRS_SNPP.A2023278.0424.002.2023279190002.nc,12835902
7827427748,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/278/AERDT_L2_VIIRS_SNPP.A2023278.0600.002.2023279185933.nc,15717548
7827424863,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/278/AERDT_L2_VIIRS_SNPP.A2023278.0606.002.2023279185849.nc,11994017
7827428358,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/278/AERDT_L2_VIIRS_SNPP.A2023278.0742.002.2023279190006.nc,13914332
7827428288,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/278/AERDT_L2_VIIRS_SNPP.A2023278.0748.002.2023279190001.nc,11760103
